ACNR,TITEL,AUTOR,LIBRETTIST,JAHR,BARCODE,SIGNATUR,IMAGES,LINK_ALMA,LINK_ASTOR,
AC14268333,"""Laudate Dominum (omnes gentes)"" et ""Magnificat""","Fux, Johann Joseph",,[ohne Jahresangabe],+Z283574400,Mus.Hs.16966,54,https://data.onb.ac.at/rec/AC14268333,https://data.onb.ac.at/rep/131EAA5E,
AC14268334,"""Laudate Dominum (omnes gentes)"" et ""Magnificat""","Fux, Johann Joseph",,[ohne Jahresangabe],+Z283574503,Mus.Hs.16967,56,https://data.onb.ac.at/rec/AC14268334,https://data.onb.ac.at/rep/131EAA5D,
AC14268335,Laudate Dominum (omnes gentes),"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283574606,Mus.Hs.16968,44,https://data.onb.ac.at/rec/AC14268335,https://data.onb.ac.at/rep/131EAA5C,
AC14268336,Laudate dominum (omnes gentes),"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283585203,Mus.Hs.17370,42,https://data.onb.ac.at/rec/AC14268336,https://data.onb.ac.at/rep/131FC500,
AC14268339,Laudate pueri,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283573900,Mus.Hs.16962,58,https://data.onb.ac.at/rec/AC14268339,https://data.onb.ac.at/rep/131EAA66,
AC14268340,Laudate pueri,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z28358580X,Mus.Hs.17357,40,https://data.onb.ac.at/rec/AC14268340,https://data.onb.ac.at/rep/131F9178,
AC14268341,Laudate pueri,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283585902,Mus.Hs.17356,68,https://data.onb.ac.at/rec/AC14268341,https://data.onb.ac.at/rep/131FE3DF,
AC14268342,Lettioni da morto,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z269950006,Mus.Hs.17338,78,https://data.onb.ac.at/rec/AC14268342,https://data.onb.ac.at/dtl/8743329,
AC14268345,Litaniae lauretanae,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283586803,Mus.Hs.17368,46,https://data.onb.ac.at/rec/AC14268345,https://data.onb.ac.at/rep/131F9176,
AC14268346,Litaniae lauretanae,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283588009,Mus.Hs.17361,87,https://data.onb.ac.at/rec/AC14268346,https://data.onb.ac.at/rep/132000C3,
AC14268347,Litaniae lauretanae,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283587509,Mus.Hs.17362,58,https://data.onb.ac.at/rec/AC14268347,https://data.onb.ac.at/rep/131F9172,
AC14268348,Litaniae lauretanae,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z28358790X,Mus.Hs.17365,64,https://data.onb.ac.at/rec/AC14268348,https://data.onb.ac.at/rep/131F8CD9,
AC14268349,Litaniae lauretanae: Mater divinae gratiae,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283588204,Mus.Hs.17366,80,https://data.onb.ac.at/rec/AC14268349,https://data.onb.ac.at/rep/131F8CDA,
AC14268350,Litaniae: Mater salvatoris,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283587807,Mus.Hs.17364,50,https://data.onb.ac.at/rec/AC14268350,https://data.onb.ac.at/rep/131F911E,
AC14268351,Litaniae: Sancta dei genitrix,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283588101,Mus.Hs.17363,116,https://data.onb.ac.at/rec/AC14268351,https://data.onb.ac.at/rep/131FE3E0,
AC14268352,Litaniae: Sancta Maria,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283588502,Mus.Hs.17367,136,https://data.onb.ac.at/rec/AC14268352,https://data.onb.ac.at/rep/131F916F,
AC14268353,Magnificat,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283586104,Mus.Hs.17354,46,https://data.onb.ac.at/rec/AC14268353,https://data.onb.ac.at/rep/131F9179,
AC14268354,Magnificat,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283574801,Mus.Hs.16970,82,https://data.onb.ac.at/rec/AC14268354,https://data.onb.ac.at/rep/131EA754,
AC14268355,Magnificat,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z291566102,Mus.Hs.16971,80,https://data.onb.ac.at/rec/AC14268355,https://data.onb.ac.at/rep/131F31FF,
AC14268357,Mottetto de Beata Virgine,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z232505807,Mus.Hs.17390,43,https://data.onb.ac.at/rec/AC14268357,https://data.onb.ac.at/dtl/6637633,
AC14268358,Mottetto de B. M. Virgine,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z23250590X,Mus.Hs.17393,31,https://data.onb.ac.at/rec/AC14268358,https://data.onb.ac.at/dtl/6638311,
AC14268359,Motetto della madonna santissima: Ave pia stella maris,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283587406,Mus.Hs.17394,68,https://data.onb.ac.at/rec/AC14268359,https://data.onb.ac.at/rep/131F9171,
AC14268361,"Motetto de B. M. virgine: Benedicta, quae lilium es castitatis","Fux, Johann Joseph",,[ohne Jahresangabe],+Z283589609,Mus.Hs.17392,36,https://data.onb.ac.at/rec/AC14268361,https://data.onb.ac.at/rep/131F8CD2,
AC14268363,Motetto de quovis sancto vel sancta: Celebremus cum gaudio,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283589907,Mus.Hs.17387,46,https://data.onb.ac.at/rec/AC14268363,https://data.onb.ac.at/rep/131F8CD5,
AC14268364,Motetto de B. M. Virgine (Christe Fili),"Fux, Johann Joseph",,[ohne Jahresangabe],+Z191142201,Mus.Hs.17391,45,https://data.onb.ac.at/rec/AC14268364,https://data.onb.ac.at/dtl/5900048,
AC14268365,Motetto de sancto Michaele archangelo: Concussum est mare,"Fux, Johann Joseph",,1730,+Z283587108,Mus.Hs.17398,42,https://data.onb.ac.at/rec/AC14268365,https://data.onb.ac.at/rep/131F80C9,
AC14268366,"Motetto de resurrectione domini: Ecce sacerdos magnus, qui in ara crucis oblatus est","Fux, Johann Joseph",,[ohne Jahresangabe],+Z283589506,Mus.Hs.17381,70,https://data.onb.ac.at/rec/AC14268366,https://data.onb.ac.at/rep/131F9170,
AC14268367,Motetto,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z232505601,Mus.Hs.17385,35,https://data.onb.ac.at/rec/AC14268367,https://data.onb.ac.at/dtl/6637060,
AC14268368,Motetto de Confessore,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z232506009,Mus.Hs.17396,23,https://data.onb.ac.at/rec/AC14268368,https://data.onb.ac.at/dtl/6637133,
AC14268369,"Motetto sanctorum innocentium: Isti, qui amicti sunt","Fux, Johann Joseph",,[ohne Jahresangabe],+Z269993601,Mus.Hs.17382,38,https://data.onb.ac.at/rec/AC14268369,https://data.onb.ac.at/dtl/9049908,
AC14268370,Motetto de confessore. Justum deduxit Dominus,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283590004,Mus.Hs.17386,22,https://data.onb.ac.at/rec/AC14268370,https://data.onb.ac.at/rep/131F916A,
AC14268371,"Motetto de spiritu sancto: O ignis coelestis, o gratiae testis","Fux, Johann Joseph",,[ohne Jahresangabe],+Z283590107,Mus.Hs.17388,48,https://data.onb.ac.at/rec/AC14268371,https://data.onb.ac.at/rep/131F916B,
AC14268372,Motetto: Omnis terra adoret,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283587200,Mus.Hs.17397,56,https://data.onb.ac.at/rec/AC14268372,https://data.onb.ac.at/rep/131F8CD7,
AC14268373,"Motetto de B. M. virgine: Pia mater, fons amoris","Fux, Johann Joseph",,[ohne Jahresangabe],+Z283589804,Mus.Hs.17384,36,https://data.onb.ac.at/rec/AC14268373,https://data.onb.ac.at/rep/131F8CD4,
AC14268374,Motetto de nativitate Domini: Plaudite Deo nostro,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283589701,Mus.Hs.17383,64,https://data.onb.ac.at/rec/AC14268374,https://data.onb.ac.at/rep/131F8CD3,
AC14268375,"Motetto De Resurrectione Domini: Plaudite, sonat tuba","Fux, Johann Joseph",,[vor 1716],+Z232505005,Mus.Hs.17380,83,https://data.onb.ac.at/rec/AC14268375,https://data.onb.ac.at/dtl/6628237,
AC14268376,Mottetto De Ascensione Domini,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z232505704,Mus.Hs.17389,51,https://data.onb.ac.at/rec/AC14268376,https://data.onb.ac.at/dtl/6637939,
AC14268377,Motetto in epiphania Domini: Reges Tharsis et insulae,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283587303,Mus.Hs.17395,42,https://data.onb.ac.at/rec/AC14268377,https://data.onb.ac.at/rep/131F8CD8,
AC14268379,Nisi Dominus,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z291565900,Mus.Hs.16973,80,https://data.onb.ac.at/rec/AC14268379,https://data.onb.ac.at/rep/131F3207,
AC14268380,Nisi Dominus,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z291565808,Mus.Hs.16974,86,https://data.onb.ac.at/rec/AC14268380,https://data.onb.ac.at/rep/131F3206,
AC14268382,Nunc dimittis,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283587601,Mus.Hs.17360,42,https://data.onb.ac.at/rec/AC14268382,https://data.onb.ac.at/rep/131F9173,
AC14268387,"Offertorium de apostolis ""Estote fortes""","Fux, Johann Joseph",,[ohne Jahresangabe],+Z283584107,Mus.Hs.17342,48,https://data.onb.ac.at/rec/AC14268387,https://data.onb.ac.at/rep/131F911D,
AC14268388,Offertorium de venerabili sacramento,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283584004,Mus.Hs.17341,50,https://data.onb.ac.at/rec/AC14268388,https://data.onb.ac.at/rep/131F9126,
AC14268393,Qui habitat (in adiutorio),"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283587704,Mus.Hs.17359,56,https://data.onb.ac.at/rec/AC14268393,https://data.onb.ac.at/rep/131F9312,
AC14268399,Salve Regina,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z28358370X,Mus.Hs.17343,44,https://data.onb.ac.at/rec/AC14268399,https://data.onb.ac.at/rep/131F9177,
AC14268416,"Vesperae de B. M. V: ""Dixit"" et ""Laudate pueri""","Fux, Johann Joseph",,[ohne Jahresangabe],+Z283585100,Mus.Hs.17371,110,https://data.onb.ac.at/rec/AC14268416,https://data.onb.ac.at/rep/131FE3E2,
AC14268417,Vesperae de confessore,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z213907000,Mus.Hs.17373,123,https://data.onb.ac.at/rec/AC14268417,https://data.onb.ac.at/dtl/7397459,
AC14268418,Vesperae de confessore,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283586906,Mus.Hs.17374,134,https://data.onb.ac.at/rec/AC14268418,https://data.onb.ac.at/rep/131F80C8,
AC14268419,Vesperae de confessore,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z28358840X,Mus.Hs.17375,90,https://data.onb.ac.at/rec/AC14268419,https://data.onb.ac.at/rep/131F916E,
AC14268420,Vesperae de confessore,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283588307,Mus.Hs.17376,118,https://data.onb.ac.at/rec/AC14268420,https://data.onb.ac.at/rep/131F9174,
AC14268421,Vesperae de confessore,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283586700,Mus.Hs.17377,126,https://data.onb.ac.at/rec/AC14268421,https://data.onb.ac.at/rep/131F80C7,
AC14268422,Vesperae de B. M. V.,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283586608,Mus.Hs.17378,130,https://data.onb.ac.at/rec/AC14268422,https://data.onb.ac.at/rep/131F9175,
AC14268423,Vespro del sabbato,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z283586505,Mus.Hs.17379,190,https://data.onb.ac.at/rec/AC14268423,https://data.onb.ac.at/rep/131F80CB,
AC14268424,"Vespro con l'hinno. Feria 4ta, cinerum (Aschermittwoch)","Fux, Johann Joseph",,[1732?],+Z190120003,Mus.Hs.17372,219,https://data.onb.ac.at/rec/AC14268424,https://data.onb.ac.at/dtl/9217760,
AC14268429,La Cena del Signore,"Fux, Johann Joseph","Pariati, Pietro",1720,+Z191189308,Mus.Hs.18198,304,https://data.onb.ac.at/rec/AC14268429,https://data.onb.ac.at/dtl/8763428,
AC14268430,Cristo nell'orto,"Fux, Johann Joseph","Pariati, Pietro",1718,+Z190848503,Mus.Hs.18194,276,https://data.onb.ac.at/rec/AC14268430,https://data.onb.ac.at/dtl/8761710,
AC14268431,"Le deposizione dalla croce di Gesu Cristo, salvator nostro","Fux, Johann Joseph","Pasquini, Giovanni Claudio",1728,+Z190838509,Mus.Hs.18204,322,https://data.onb.ac.at/rec/AC14268431,https://data.onb.ac.at/dtl/8762782,
AC14268434,La fede sacrilega nella morte del precursor s. Giovanni Battista,"Fux, Johann Joseph","Pariati, Pietro",1714,+Z190848606,Mus.Hs.18184,258,https://data.onb.ac.at/rec/AC14268434,https://data.onb.ac.at/dtl/8762264,
AC14268441,Diana placata,"Fux, Johann Joseph","Pariati, Pietro",1717,+Z238589703,Mus.Hs.17181,296,https://data.onb.ac.at/rec/AC14268441,https://data.onb.ac.at/dtl/8569174,
AC14268442,Il Fonte della Salute,"Fux, Johann Joseph",,1721,+Z191108308,Mus.Hs.17308,334,https://data.onb.ac.at/rec/AC14268442,https://data.onb.ac.at/dtl/9266923,
AC14268443,Orfeo ed Euridice,"Fux, Johann Joseph","Pariati, Pietro",1715,+Z269933902,Mus.Hs.17231,290,https://data.onb.ac.at/rec/AC14268443,https://data.onb.ac.at/dtl/8808774,
AC14268444,Psiche,"Fux, Johann Joseph","Zeno, Apostolo",1722,+Z238585205,Mus.Hs.17230,253,https://data.onb.ac.at/rec/AC14268444,https://data.onb.ac.at/dtl/8427453,
AC14268701,La Diavolessa,"Galuppi, Baldassare","Goldoni, Carlo",[1755],+Z191122202,Mus.Hs.18070/1,206,https://data.onb.ac.at/rec/AC14268701,https://data.onb.ac.at/dtl/5680603,
AC14268701,La Diavolessa,"Galuppi, Baldassare","Goldoni, Carlo",[1755],+Z191122305,Mus.Hs.18070/2,138,https://data.onb.ac.at/rec/AC14268701,https://data.onb.ac.at/dtl/5681018,
AC14268701,La Diavolessa,"Galuppi, Baldassare","Goldoni, Carlo",[1755],+Z191126207,Mus.Hs.18070/3,70,https://data.onb.ac.at/rec/AC14268701,https://data.onb.ac.at/dtl/5682179,
AC14268918,Il Bajazet,"Gasparini, Francesco","Piovene, Agostino",1719,+Z269949508,Mus.Hs.17251/1,178,https://data.onb.ac.at/rec/AC14268918,https://data.onb.ac.at/dtl/8783187,
AC14268918,Il Bajazet,"Gasparini, Francesco","Piovene, Agostino",1719,+Z26995050X,Mus.Hs.17251/2,146,https://data.onb.ac.at/rec/AC14268918,https://data.onb.ac.at/dtl/8782893,
AC14268918,Il Bajazet,"Gasparini, Francesco","Piovene, Agostino",1719,+Z269950407,Mus.Hs.17251/3,154,https://data.onb.ac.at/rec/AC14268918,https://data.onb.ac.at/dtl/8782169,
AC14268920,L'Oracolo del Fato,"Gasparini, Francesco","Pariati, Pietro",[1719],+Z14262530X,Mus.Hs.17253,284,https://data.onb.ac.at/rec/AC14268920,https://data.onb.ac.at/dtl/4774971,
AC14270324,<<La>> ninfa contenta,"Greber, Jakob",,[1713],+Z213936206,Mus.Hs.17252,210,https://data.onb.ac.at/rec/AC14270324,https://data.onb.ac.at/dtl/7443547,
AC14270406,La decollazione di s. Giovanni Battista,"Grimani, Maria Margharita",,1715,+Z238523807,Mus.Hs.17666,167,https://data.onb.ac.at/rec/AC14270406,https://data.onb.ac.at/dtl/8153730,
AC14271251,Cantata,"Bruyninx, Jacob Jan Hamel",,[ohne Jahresangabe],+Z269999500,Mus.Hs.17585,172,https://data.onb.ac.at/rec/AC14271251,https://data.onb.ac.at/dtl/9275698,
AC14271507,Il cantico dei tre fanciulli,"Hasse, Johann Adolf",,1734,+Z323210801,Mus.Hs.17687/1,243,https://data.onb.ac.at/rec/AC14271507,https://data.onb.ac.at/rep/131FE389,
AC14271507,Il cantico dei tre fanciulli,"Hasse, Johann Adolf",,1734,+Z323210709,Mus.Hs.17687/2,295,https://data.onb.ac.at/rec/AC14271507,https://data.onb.ac.at/rep/131FE3A8,
AC14271551,Siroe,"Hasse, Johann Adolf","Metastasio, Pietro",1733,+Z217710004,Mus.Hs.17256/1,222,https://data.onb.ac.at/rec/AC14271551,https://data.onb.ac.at/dtl/7327776,
AC14271551,Siroe,"Hasse, Johann Adolf","Metastasio, Pietro",1733,+Z217710107,Mus.Hs.17256/2,166,https://data.onb.ac.at/rec/AC14271551,https://data.onb.ac.at/dtl/7328223,
AC14271551,Siroe,"Hasse, Johann Adolf","Metastasio, Pietro",1733,+Z21771020X,Mus.Hs.17256/3,130,https://data.onb.ac.at/rec/AC14271551,https://data.onb.ac.at/dtl/7328558,
AC14273305,L'Adolescenza coronata dal Senno,"Hellmann, Maximilian Joseph","Pasquini, Giovanni Claudio",1733,+Z190108908,Mus.Hs.17616,222,https://data.onb.ac.at/rec/AC14273305,https://data.onb.ac.at/dtl/9264923,
AC14273306,Abigaile,"Hellmann, Maximilian Joseph","Giusti, Francesca Manzoni",1734,+Z322226503,Mus.Hs.18310,303,https://data.onb.ac.at/rec/AC14273306,https://data.onb.ac.at/rep/1320920C,
AC14273307,La Virtu. guida della Fortuna,"Hellmann, Maximilian Joseph","Pasquini, Giovanni Claudio",1734,+Z190109202,Mus.Hs.17617,158,https://data.onb.ac.at/rec/AC14273307,https://data.onb.ac.at/dtl/9265709,
AC14273308,"La maesta, condotta al tempio dell'onore dal Consiglio","Hellmann, Maximilian Joseph","Pasquini, Giovanni Claudio",1733,+Z190105002,Mus.Hs.17615,136,https://data.onb.ac.at/rec/AC14273308,https://data.onb.ac.at/dtl/9262165,
AC14273309,Il premio dell'onore,"Hellmann, Maximilian Joseph","Pasquini, Giovanni Claudio",1737,+Z269994204,Mus.Hs.17293,226,https://data.onb.ac.at/rec/AC14273309,https://data.onb.ac.at/dtl/9225118,
AC14275030,"Psalm ""Laudate Dominum in sanctis eius"" de sancto vel sancta, folgend: ""Eia, laudes beato [vel beatae] devoti cantemus""","Jommelli, Niccolò",,[ohne Jahresangabe],+Z283583504,Mus.Hs.17326,72,https://data.onb.ac.at/rec/AC14275030,https://data.onb.ac.at/rep/131F917D,
AC14275040,"Offertorio (""Confirma hoc Deus"") Per la domenica di pentecoste","Jommelli, Niccolò",,[ohne Jahresangabe],+Z283567808,Mus.Hs.16677,46,https://data.onb.ac.at/rec/AC14275040,https://data.onb.ac.at/rep/131E9D9D,
AC14278841,Il trionfo di Camilla,"Leo, Leonardo",,1726,+Z190185101,Mus.Hs.18092/1,190,https://data.onb.ac.at/rec/AC14278841,https://data.onb.ac.at/dtl/9721934,
AC14278841,Il trionfo di Camilla,"Leo, Leonardo",,1726,+Z190185009,Mus.Hs.18092/2,182,https://data.onb.ac.at/rec/AC14278841,https://data.onb.ac.at/dtl/9721568,
AC14278841,Il trionfo di Camilla,"Leo, Leonardo",,1726,+Z19018490X,Mus.Hs.18092/3,142,https://data.onb.ac.at/rec/AC14278841,https://data.onb.ac.at/dtl/9726620,
AC14279385,Offertorium (In c'omi tribulatione nostra [In omni tribulatione nostra]),"Lotti, Antonio",,[ohne Jahresangabe],+Z322210301,Mus.Hs.17935,34,https://data.onb.ac.at/rec/AC14279385,https://data.onb.ac.at/rep/131FE3C5,
AC14279387,Il Voto Crudele,"Lotti, Antonio","Pariati, Pietro",1712,+Z232550503,Mus.Hs.17695,188,https://data.onb.ac.at/rec/AC14279387,https://data.onb.ac.at/dtl/6908520,
AC14279390,L'umiltà coronata,"Lotti, Antonio","Pariati, Pietro",[1714],+Z23251240X,Mus.Hs.17671,256,https://data.onb.ac.at/rec/AC14279390,https://data.onb.ac.at/dtl/6712979,
AC14279394,"Madrigali (Spirto di Dio, ch'essendo il mondo)","Lotti, Antonio",,[ohne Jahresangabe],+Z283579100,Mus.Hs.17032,26,https://data.onb.ac.at/rec/AC14279394,https://data.onb.ac.at/rep/131F320E,
AC14279399,"Cantate nelle feste celebrate da S. E. il conte (Iohanne Baptista) Colloredo, ambasciatore di S. M. C. e cattolica in Venezia, per la solennita di san Carlo, nome ... della maesta sua","Lotti, Antonio",,1714,+Z19011250X,Mus.Hs.17638,38,https://data.onb.ac.at/rec/AC14279399,https://data.onb.ac.at/dtl/9266153,
AC14279651,La morte d'Adone,"Marcello, Benedetto",,[1729],+Z190119402,Mus.Hs.17747,160,https://data.onb.ac.at/rec/AC14279651,https://data.onb.ac.at/dtl/9631362,
AC14279659,Dodeci cantate,"Marcello, Benedetto",,[ohne Jahresangabe],+Z269993108,Mus.Hs.17550,114,https://data.onb.ac.at/rec/AC14279659,https://data.onb.ac.at/dtl/9180588,
AC14279691,Il trionfo della fedelta,Maria Antonia,"Metastasio, Pietro",[1754],+Z269918901,Mus.Hs.17204/1,134,https://data.onb.ac.at/rec/AC14279691,https://data.onb.ac.at/dtl/8664738,
AC14279691,Il trionfo della fedelta,Maria Antonia,"Metastasio, Pietro",[1754],+Z269918809,Mus.Hs.17204/2,122,https://data.onb.ac.at/rec/AC14279691,https://data.onb.ac.at/dtl/8665900,
AC14279691,Il trionfo della fedelta,Maria Antonia,"Metastasio, Pietro",[1754],+Z269918706,Mus.Hs.17204/3,102,https://data.onb.ac.at/rec/AC14279691,https://data.onb.ac.at/dtl/8664532,
AC14282031,Missa in Hb,"Monn, Matthias Georg",,[ohne Jahresangabe],+Z28358420X,Mus.Hs.17315,246,https://data.onb.ac.at/rec/AC14282031,https://data.onb.ac.at/rep/131F7661,
AC14284992,L'Arsace,"Orlandini, Giuseppe Maria",,[1721],+Z190125700,Mus.Hs.17950,388,https://data.onb.ac.at/rec/AC14284992,https://data.onb.ac.at/dtl/9751201,
AC14284994,Bacocco e Serpilla,"Orlandini, Giuseppe Maria",,[1715],+Z190119505,Mus.Hs.17740,102,https://data.onb.ac.at/rec/AC14284994,https://data.onb.ac.at/dtl/9632280,
AC14284995,Le nozze di Perseo e d´Andromeda,"Orlandini, Giuseppe Maria","Marchi, Daminao",[1738],+Z142639607,Mus.Hs.17953,220,https://data.onb.ac.at/rec/AC14284995,https://data.onb.ac.at/rep/131B305F,
AC14285208,Narcisso al fonte,"Paganelli, Giuseppe Antonio","Zangarini, Giovanni Battista",[1731],+Z238582204,Mus.Hs.16725,140,https://data.onb.ac.at/rec/AC14285208,https://data.onb.ac.at/dtl/8429227,
AC14285476,Exultandi tempus est,Unbekannt,,[ohne Jahresangabe],+Z322208501,Mus.Hs.17514,32,https://data.onb.ac.at/rec/AC14285476,https://data.onb.ac.at/rep/1320009F,
AC14285574,Alma redemptoris,"Palotta, Matteo",,1734,+Z322208306,Mus.Hs.17460,34,https://data.onb.ac.at/rec/AC14285574,https://data.onb.ac.at/rep/13200098,
AC14285575,Ave regina,"Palotta, Matteo",,1733,+Z322204805,Mus.Hs.17456,30,https://data.onb.ac.at/rec/AC14285575,https://data.onb.ac.at/rep/131FE3D6,
AC14285576,Ave regina,"Palotta, Matteo",,1732,+Z322204908,Mus.Hs.17457,54,https://data.onb.ac.at/rec/AC14285576,https://data.onb.ac.at/rep/131FC4FA,
AC14285578,"Beatus (vir, qui timet) et Laudate pueri","Palotta, Matteo",,[ohne Jahresangabe],+Z322209207,Mus.Hs.17471,124,https://data.onb.ac.at/rec/AC14285578,https://data.onb.ac.at/rep/131FE3D0,
AC14285579,Compieta III,"Palotta, Matteo",,1739,+Z322209906,Mus.Hs.17462,202,https://data.onb.ac.at/rec/AC14285579,https://data.onb.ac.at/rep/131FE3CA,
AC14285581,Completorium longum,"Palotta, Matteo",,1734,+Z283566907,Mus.Hs.16646,74,https://data.onb.ac.at/rec/AC14285581,https://data.onb.ac.at/rep/131E623F,
AC14285582,Completorium breve cum Ave regina coelorum,"Palotta, Matteo",,1734,+Z291668002,Mus.Hs.16649,66,https://data.onb.ac.at/rec/AC14285582,https://data.onb.ac.at/rep/131E6239,
AC14285583,Completorium breve con: Ave regina,"Palotta, Matteo",,1734,+Z322209402,Mus.Hs.17464,150,https://data.onb.ac.at/rec/AC14285583,https://data.onb.ac.at/rep/131FE3CC,
AC14285584,Completorium,"Palotta, Matteo",,1739,+Z322210003,Mus.Hs.17463,162,https://data.onb.ac.at/rec/AC14285584,https://data.onb.ac.at/rep/131FE3C9,
AC14285589,Hymnus in vigilia nativitatis Domini ad laudes: A solus ortus cardine,"Palotta, Matteo",,1734,+Z322208203,Mus.Hs.17459,30,https://data.onb.ac.at/rec/AC14285589,https://data.onb.ac.at/rep/13200099,
AC14285590,"Hymnus in vigilia nativitatis Domini ad matutinum: Jesu, redemptor omnium","Palotta, Matteo",,1734,+Z322208100,Mus.Hs.17458,30,https://data.onb.ac.at/rec/AC14285590,https://data.onb.ac.at/rep/1320009A,
AC14285593,In exitu (Israel de Aegypto) et Magnificat,"Palotta, Matteo",,[ohne Jahresangabe],+Z322209700,Mus.Hs.17465,126,https://data.onb.ac.at/rec/AC14285593,https://data.onb.ac.at/rep/13200093,
AC14285598,Laetatus (sum in his),"Palotta, Matteo",,1738,+Z322209803,Mus.Hs.17468,255,https://data.onb.ac.at/rec/AC14285598,https://data.onb.ac.at/rep/13200094,
AC14285599,Laudate Dominum (omnes gentes),"Palotta, Matteo",,1739,+Z322208707,Mus.Hs.17466,70,https://data.onb.ac.at/rec/AC14285599,https://data.onb.ac.at/rep/132000A0,
AC14285600,Laudate Dominum (omnes gentes),"Palotta, Matteo",,1739,+Z32220880X,Mus.Hs.17467,70,https://data.onb.ac.at/rec/AC14285600,https://data.onb.ac.at/rep/132000A1,
AC14285602,Litaniae lauretanae,"Palotta, Matteo",,1735,+Z322209104,Mus.Hs.17470,18,https://data.onb.ac.at/rec/AC14285602,https://data.onb.ac.at/rep/131FE3CF,
AC14285603,"Litaniae lauretanae (mit angehängtem Antiphon ""Sub tuum praesidium"")","Palotta, Matteo",,1735,+Z322209001,Mus.Hs.17469,30,https://data.onb.ac.at/rec/AC14285603,https://data.onb.ac.at/rep/131FE3CD,
AC14285604,Vesperae pro dominicis quadragesimae et adventus,"Palotta, Matteo",,1735,+Z32220930X,Mus.Hs.17472,126,https://data.onb.ac.at/rec/AC14285604,https://data.onb.ac.at/rep/131FE3CB,
AC14285606,Miserere pro funere comitando,"Palotta, Matteo",,1736,+Z283572403,Mus.Hs.16815,22,https://data.onb.ac.at/rec/AC14285606,https://data.onb.ac.at/rep/131E9D91,
AC14285612,"Sequentia (""Graduale"" von späterer Hand): Victimae paschali","Palotta, Matteo",,1736,+Z322208902,Mus.Hs.17461,53,https://data.onb.ac.at/rec/AC14285612,https://data.onb.ac.at/rep/13200092,
AC14286246,Laudate pueri (Dominum),"Pergolesi, Giovanni Battista",,[ohne Jahresangabe],+Z283572208,Mus.Hs.16743,166,https://data.onb.ac.at/rec/AC14286246,https://data.onb.ac.at/rep/131EA35C,
AC14286260,Sanctum et terribile nomen eius,"Pergolesi, Giovanni Battista",,[ohne Jahresangabe],+Z283578508,Mus.Hs.17043,18,https://data.onb.ac.at/rec/AC14286260,https://data.onb.ac.at/rep/131F320A,
AC14286262,Stabat (mater dolorosa),"Pergolesi, Giovanni Battista",,[ohne Jahresangabe],+Z28356800X,Mus.Hs.16660,190,https://data.onb.ac.at/rec/AC14286262,https://data.onb.ac.at/rep/131E9D9E,
AC14286266,Stabat mater,"Pergolesi, Giovanni Battista",,[ohne Jahresangabe],+Z191132402,Mus.Hs.16681,30,https://data.onb.ac.at/rec/AC14286266,https://data.onb.ac.at/dtl/5702355,
